uuid,attribute_1,attribute_2,attribute_3
American Bulldog,3,3,3
American Pit Bull Terrier,2,3,2
Basset Hound,3,1,3
Beagle,3,1,1
Boxer,2,3,2
Chihuahua,1,1,3
English Cocker Spaniel,1,1,1
English Setter,1,1,1
German Shorthaired,1,2,3
Great Pyrenees,2,2,3
Havanese,3,3,1
Japanese Chin,3,3,3
Keeshond,3,2,2
Leonberger,3,2,3
Miniature Pinscher,3,3,3
Newfoundland,3,3,3
Pomeranian,3,1,1
Pug,2,3,3
Saint Bernard,2,3,1
Samyoed,1,2,2
Scottish Terrier,1,2,2
Shiba Inu,1,1,3
Staffordshire Bull Terrier,2,1,3
Wheaton Terrier,2,3,3
Yorkshire Terrier,2,2,2
